,full_location,continent,country,state/province,county/town,municipality,discrete-phylo,latitude,longitude
0,North America / Canada / Nova Scotia / Country Island,North America,Canada,Nova Scotia,Country Island,,east-canada,45.1015,-61.54304
1,Europe / Norway / Sor-Trondelag Fylke / Froya,Europe,Norway,Sor-Trondelag Fylke,Froya,,europe,63.990556,12.307778
2,North America / Canada / Ontario / Hawkestone,North America,Canada,Ontario,Hawkestone,,east-canada,44.50049,-79.47048
3,Europe / Norway / Finnmark Fylke / Vardo,Europe,Norway,Finnmark Fylke,Vardo,,europe,63.990556,12.307778
4,North America / United States / Massachusetts / Eastham,North America,United States,Massachusetts,Eastham,,new-england,41.83011,-69.97391
5,North America / Greenland,North America,Greenland,,,,europe,75.73314,-41.10292
6,North America / United States / Maine / Kennebunk,North America,United States,Maine,Kennebunk,,new-england,43.38328,-70.54277
7,Europe / Norway / Finnmark Fylke / Loppa / Finnmark,Europe,Norway,Finnmark Fylke,Loppa,Finnmark,europe,63.990556,12.307778
8,North America / Canada / Prince Edward Island / Mount Stewart,North America,Canada,Prince Edward Island,Mount Stewart,,east-canada,46.36547,-62.86694
9,Europe / Norway / Nordland Fylke / Bodo,Europe,Norway,Nordland Fylke,Bodo,,europe,63.990556,12.307778
10,Europe / Norway / Finnmark Fylke / Nordkap,Europe,Norway,Finnmark Fylke,Nordkap,,europe,63.990556,12.307778
11,North America / Canada / Nova Scotia / Kentville,North America,Canada,Nova Scotia,Kentville,,east-canada,45.07701,-64.49472
12,"Europe / Netherlands / Castricum, Noord-Holland",Europe,Netherlands,"Castricum, Noord-Holland",,,europe,52.31,5.46
13,Europe / Norway / Troms Fylke / Tromso / Troms,Europe,Norway,Troms Fylke,Tromso,Troms,europe,63.990556,12.307778
14,North America / Canada / Prince Edward Island / Sturgeon,North America,Canada,Prince Edward Island,Sturgeon,,east-canada,46.11641,-62.53763
15,North America / United States / Massachusetts / Nantucket / Nantucket,North America,United States,Massachusetts,Nantucket,Nantucket,new-england,41.28523,-70.09914
16,Europe / Belgium / Provincie West-Vlaanderen / Middelkerke,Europe,Belgium,Provincie West-Vlaanderen,Middelkerke,,europe,50.640168,4.666682
17,Europe / Germany / Lower Saxony,Europe,Germany,Lower Saxony,,,europe,51.163375,10.447683
18,North America / Canada / Prince Edward Island / Stratford,North America,Canada,Prince Edward Island,Stratford,,east-canada,46.21399,-63.0863
19,Europe / Norway / Finnmark Fylke / Vardo / Finnmark,Europe,Norway,Finnmark Fylke,Vardo,Finnmark,europe,63.990556,12.307778
20,North America / Canada / Newfoundland and Labrador / Gull Island,North America,Canada,Newfoundland and Labrador,Gull Island,,east-canada,47.66774,-58.29991
21,Europe / Iceland,Europe,Iceland,,,,europe,65,-18
22,North America / Canada / Nova Scotia / Sable Island,North America,Canada,Nova Scotia,Sable Island,,east-canada,43.93253,-59.91709
23,North America / Canada / Nova Scotia / Bear River,North America,Canada,Nova Scotia,Bear River,,east-canada,44.71771,-65.49494
24,North America / Canada / Nova Scotia / Meteghan,North America,Canada,Nova Scotia,Meteghan,,east-canada,44.18839,-66.16167
25,North America / Canada / Prince Edward Island / Darnley,North America,Canada,Prince Edward Island,Darnley,,east-canada,46.54107,-63.63407
26,North America / Canada / Nova Scotia / Grand Pr?,North America,Canada,Nova Scotia,Grand Pr?,,east-canada,45.1045,-64.30649
27,North America / Canada / Prince Edward Island / Richmond,North America,Canada,Prince Edward Island,Richmond,,east-canada,46.50784,-63.99134
28,North America / United States / Massachusetts / Plymouth,North America,United States,Massachusetts,Plymouth,,new-england,41.95407,-70.65879
29,North America / Canada / Nova Scotia / Meteghan Centre,North America,Canada,Nova Scotia,Meteghan Centre,,east-canada,44.19661,-66.14781
