location,discrete-region,lat,long
nl,west-canada,48.36,-56.2
kalmykia,europe,66.755,93.85
on,west-canada,49.7899,-85.9663
russia,europe,66.755,93.85
qc,west-canada,52,-72
usa,new-england,unknown,unknown
ns,west-canada,45,-63
netherlands,europe,52.31,5.46
nu,north-canada,66.1192,-99.5445
iceland,europe,65,-18
finland,europe,64.83949,25.57046
germany-ni,europe,51.163375,10.447683
norway,europe,63.990556,12.307778
england,europe,54.00366,-2.547855
nb,west-canada,46.3,-66
germany-sh,europe,51.163375,10.447683
belgium,europe,50.640168,4.666682
pei,west-canada,46.4037,-63.328
iwate,asia,36,138
washington,pacific-northwest,47.3822,-120.4505
massachusetts,new-england,42.2596,-71.8083
hokkaido,asia,36,138
scotland,europe,54.00366,-2.547855
maine,new-england,45.3702,-69.2438
greenland,europe,75.73314,-41.10292
ma,new-england,42.2596,-71.8083
