host,Wild bird order,host_type,host-group
American_Crow,wild_avian,Passeriformes,scav
american_crow,wild_avian,Passeriformes,scav
Arctic_fox,nonhuman_mammal,NaN,mammal
bald_eagle,wild_avian,Accipitriformes,bdpr
Bald_Eagle,wild_avian,Accipitriformes,bdpr
Barn_Owl,wild_avian,Strigiformes,bdpr
Black_Headed_Gull,wild_avian,Charadriiformes,seab
black_vulture,wild_avian,Accipitriformes,scav
Black-headed_Gull,wild_avian,Charadriiformes,seab
Black-Legged_Kittiwake,wild_avian,Charadriiformes,seab
Black-legged_Kittiwake,wild_avian,Charadriiformes,seab
bufflehead,wild_avian,Anseriformes,gds
cat,nonhuman_mammal,NaN,mammal
Cat,nonhuman_mammal,NaN,mammal
Chicken,domestic_avian,NaN,grdbd
Common Raven,wild_avian,Passeriformes,scav
Common_Buzzard,wild_avian,Accipitriformes,scav
common_buzzard,wild_avian,Accipitriformes,scav
Common_buzzard,wild_avian,Accipitriformes,scav
common_eider,wild_avian,Anseriformes,gds
Common_eider,wild_avian,Anseriformes,gds
Common_gull,wild_avian,Charadriiformes,seab
Common_Gull,wild_avian,Charadriiformes,seab
common_raven,wild_avian,Passeriformes,scav
Common_raven,wild_avian,Passeriformes,scav
Common_Tern,wild_avian,Charadriiformes,seab
Cormorant,wild_avian,Suliformes,seab
crow,wild_avian,Passeriformes,scav
Crow,wild_avian,Passeriformes,scav
Duck,wild_avian,Anseriformes,gds
European_herring_gull,wild_avian,Charadriiformes,seab
European_Herring_Gull,wild_avian,Charadriiformes,seab
European_herring_gullNorway,wild_avian,Charadriiformes,seab
Fulmar,wild_avian,Procellariiformes,seab
Gannet,wild_avian,Suliformes,seab
glaucous_gull,wild_avian,Charadriiformes,seab
Glaucous_gull,wild_avian,Charadriiformes,seab
golden_eagle,wild_avian,Accipitriformes,bdpr
Great_Black_Backed_Gull,wild_avian,Charadriiformes,seab
Great_black-backed_gull,wild_avian,Charadriiformes,seab
great_black-backed_gull,wild_avian,Charadriiformes,seab
Great_Black-Backed_Gull,wild_avian,Charadriiformes,seab
Great_Skua,wild_avian,Charadriiformes,seab
Great_skua,wild_avian,Charadriiformes,seab
Greater_Black_Backed_Gull,wild_avian,Charadriiformes,seab
Grey_Seal,nonhuman_mammal,NaN,mammal
Greylag_goose,wild_avian,Anseriformes,gds
Gull,wild_avian,Charadriiformes,seab
gull,wild_avian,Charadriiformes,seab
herring_gull,wild_avian,Charadriiformes,seab
Herring_Gull,wild_avian,Charadriiformes,seab
Herring_gull,wild_avian,Charadriiformes,seab
human,human,NaN,mammal
Iceland_Gull,wild_avian,Charadriiformes,seab
Iceland_gull,wild_avian,Charadriiformes,seab
Kestral,wild_avian,Falconiformes,bdpr
large-billed_crow,wild_avian,Passeriformes,scav
Larus_canus,wild_avian,Charadriiformes,seab
Lynx,nonhuman_mammal,NaN,mammal
Northern_Fulmar,wild_avian,Procellariiformes,seab
northern_fulmar,wild_avian,Procellariiformes,seab
Northern_gannet,wild_avian,Suliformes,seab
Northern_goshawk,wild_avian,Accipitriformes,bdpr
Otter,nonhuman_mammal,NaN,mammal
Pheasant,domestic_avian,NaN,grdbd
Pine_Marten,nonhuman_mammal,NaN,mammal
Raccoon,nonhuman_mammal,NaN,mammal
Raven,wild_avian,Passeriformes,scav
Red_Fox,nonhuman_mammal,NaN,mammal
Red_fox,nonhuman_mammal,NaN,mammal
Red_Kite,wild_avian,Accipitriformes,bdpr
red_kite,wild_avian,Accipitriformes,bdpr
Red-breasted Merganser,wild_avian,Anseriformes,gds
Red-Tailed_Hawk,wild_avian,Accipitriformes,bdpr
red-tailed_hawk,wild_avian,Accipitriformes,bdpr
Ring-billed_Gull,wild_avian,Charadriiformes,seab
Ring-Tailed_Hawk,wild_avian,Accipitriformes,bdpr
Ringed_Seal,nonhuman_mammal,NaN,mammal
Sand_piper,wild_avian,Charadriiformes,seab
Seal,nonhuman_mammal,NaN,mammal
shelduck,wild_avian,Anseriformes,gds
Sparrowhawk,wild_avian,Accipitriformes,bdpr
Striped_Skunk,nonhuman_mammal,NaN,mammal
Turkey,domestic_avian,NaN,grdbd
Turkey_Vulture,wild_avian,Accipitriformes,scav
turkey_vulture,wild_avian,Accipitriformes,scav
waterfowl,wild_avian,Anseriformes,gds
White_Tailed_Eagle,wild_avian,Accipitriformes,bdpr
White-tailed_eagle,wild_avian,Accipitriformes,bdpr
white-tailed_eagle,wild_avian,Accipitriformes,bdpr
