newid,Isolate_Id,Isolate_Name,Collection_Date,Subtype,Genotype,Location,continent,host,host_type,Wild bird order
EPI_ISL_18837770|A/large-billed crow/Hokkaido/0112F066T/2023|H5N5|Asia|2023-12-19|wild_avian|A6 ,EPI_ISL_18837770,A/large-billed crow/Hokkaido/0112F066T/2023,2023.12.19,H5N5,A6 ,Asia / Japan / Hokkaido,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_18838019|A/large-billed crow/Hokkaido/0112F066C/2023|H5N5|Asia|2023-12-19|wild_avian|A6 ,EPI_ISL_18838019,A/large-billed crow/Hokkaido/0112F066C/2023,2023.12.19,H5N5,A6 ,Asia / Japan / Hokkaido,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_18792212|A/large-billed crow/Hokkaido/B073/2024|H5N5|Asia|2024-01-08|wild_avian|A6 ,EPI_ISL_18792212,A/large-billed crow/Hokkaido/B073/2024,2024.01.08,H5N5,A6 ,Asia / Japan / Hokkaido / Sapporo,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_18830859|A/large-billed crow/Hokkaido/B074/2024|H5N5|Asia|2024-01-09|wild_avian|A6 ,EPI_ISL_18830859,A/large-billed crow/Hokkaido/B074/2024,2024.01.09,H5N5,A6 ,Asia / Japan / Hokkaido / Sapporo,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_18830860|A/crow/Hokkaido/B075/2024|H5N5|Asia|2024-01-11|wild_avian|A6 ,EPI_ISL_18830860,A/crow/Hokkaido/B075/2024,2024.01.11,H5N5,A6 ,Asia / Japan / Hokkaido / Sapporo,Asia,crow,wild_avian,Passeriformes
EPI_ISL_18968546|A/large-billed crow/Hokkaido/B082/2024|H5N5|Asia|2024-02-05|wild_avian|A6 ,EPI_ISL_18968546,A/large-billed crow/Hokkaido/B082/2024,2024.02.05,H5N5,A6 ,Asia / Japan / Hokkaido / Sapporo,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_18968547|A/large-billed crow/Hokkaido/B090/2024|H5N5|Asia|2024-02-07|wild_avian|A6 ,EPI_ISL_18968547,A/large-billed crow/Hokkaido/B090/2024,2024.02.07,H5N5,A6 ,Asia / Japan / Hokkaido / Sapporo,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_19385175|A/large-billed crow/Hokkaido/B088/2024|H5N5|Asia|2024-02-07|wild_avian|A6 ,EPI_ISL_19385175,A/large-billed crow/Hokkaido/B088/2024,2024.02.07,H5N5,A6 ,Asia / Japan / Hokkaido / Sapporo,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_19385176|A/large-billed crow/Hokkaido/B089/2024|H5N5|Asia|2024-02-07|wild_avian|A6 ,EPI_ISL_19385176,A/large-billed crow/Hokkaido/B089/2024,2024.02.07,H5N5,A6 ,Asia / Japan / Hokkaido / Sapporo,Asia,large-billed_crow,wild_avian,Passeriformes
EPI_ISL_19385177|A/large-billed crow/Hokkaido/B092/2024|H5N5|Asia|2024-02-07|wild_avian|A6 ,EPI_ISL_19385177,A/large-billed crow/Hokkaido/B092/2024,2024.02.07,H5N5,A6 ,Asia / Japan / Hokkaido / Sapporo,Asia,large-billed_crow,wild_avian,Passeriformes
